Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929677,33,Unknown Date,12:00 AM,Aston Villa,0,Tottenham,0
929678,33,Unknown Date,12:00 AM,Chelsea,2,Everton,1
929679,33,Unknown Date,12:00 AM,Ipswich,0,Sheff Wed,1
929680,33,Unknown Date,12:00 AM,Liverpool,1,QPR,0
929681,33,Unknown Date,12:00 AM,Man City,1,Coventry,0
929682,33,Unknown Date,12:00 AM,Sheff Utd,0,Norwich,1
929683,34,Unknown Date,12:00 AM,Liverpool,1,Man Utd,2
929684,34,Unknown Date,12:00 AM,QPR,3,Norwich,1
929685,34,Unknown Date,12:00 AM,Wimbledon FC,1,Southampton,2
929686,34,Unknown Date,12:00 AM,Coventry,0,Everton,1
929687,34,Unknown Date,12:00 AM,Ipswich,1,Chelsea,1
929688,34,Unknown Date,12:00 AM,Sheff Utd,2,Leeds,1
929689,34,Unknown Date,12:00 AM,Oldham Athletic,1,Sheff Wed,1
929690,34,Unknown Date,12:00 AM,Middlesbrough,3,Tottenham,0
929691,34,Unknown Date,12:00 AM,Arsenal,1,Nottm Forest,1
929692,34,Unknown Date,12:00 AM,Blackburn,3,Aston Villa,0
929693,34,Unknown Date,12:00 AM,Man City,0,Crystal Palace,0
929694,35,Unknown Date,12:00 AM,Coventry,0,Arsenal,2
929695,35,Unknown Date,12:00 AM,Everton,3,Nottm Forest,0
929696,35,Unknown Date,12:00 AM,Leeds,1,Man City,0
929697,35,Unknown Date,12:00 AM,Middlesbrough,1,Liverpool,2
929698,35,Unknown Date,12:00 AM,Norwich,1,Oldham Athletic,0
929699,35,Unknown Date,12:00 AM,QPR,1,Wimbledon FC,2
929700,35,Unknown Date,12:00 AM,Southampton,4,Ipswich,3
929701,35,Unknown Date,12:00 AM,Man Utd,1,Aston Villa,1
929702,35,Unknown Date,12:00 AM,Crystal Palace,1,Chelsea,1
929703,35,Unknown Date,12:00 AM,Sheff Wed,1,Sheff Utd,1
929704,35,Unknown Date,12:00 AM,Tottenham,1,Blackburn,2
929705,36,Unknown Date,12:00 AM,Arsenal,4,Southampton,3
929706,36,Unknown Date,12:00 AM,Aston Villa,2,Sheff Wed,0
929707,36,Unknown Date,12:00 AM,Blackburn,1,Middlesbrough,1
